Product ID,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Payment Method,Rating,Reviews
P0015,10015,2024-12-01,Electronics,Dyson V11 Vacuum,2,50010.69,100021.38,Credit Card,2,Subpar performance and build quality. I've had much better products in this category.
P0016,10016,2024-02-14,Home Appliances,Zojirushi Neuro Fuzzy Rice Cooker,1,25578.00,25578.00,Credit Card,0,Zero stars if I could. The product is completely unusable and a total waste of money.
P0017,10017,2024-08-04,Books,Atomic Habits by James Clear,3,1190.55,3571.65,Credit Card,5,Brilliant product! Works perfectly and is incredibly well-made. Worth every penny.
P0018,10018,2024-08-25,Sports,On Cloud 5,4,14073.05,56292.20,Apple Pay,5,Top-notch quality and performance. This has become an essential part of my daily life.
P0019,10019,2024-12-27,Books,The Great Gatsby by F. Scott Fitzgerald,1,974.61,974.61,Credit Card,1,Complete waste of money. The product doesn't work as advertised at all.
P0020,10020,2024-11-27,Electronics,Google Nest Hub,5,9919.43,49597.15,PayPal,5,Best in its category! I've tried competitors and nothing comes close to this.
P0021,10021,2024-12-06,Clothing,Ray-Ban Aviator Classic Sunglasses,1,15297.21,15297.21,Credit Card,1,Awful quality. Fell apart after minimal use. Would never recommend this to anyone.
P0022,10022,2024-10-13,Books,"Tomorrow, and Tomorrow by Gabrielle Zevin",1,1451.53,1451.53,Debit Card,5,Five stars! The best purchase I've made this year. Would highly recommend to everyone.
P0023,10023,2024-05-19,Sports,Yeti Hopper M30 Soft Cooler,1,34402.62,34402.62,Debit Card,3,It's an okay product. Does the basics but nothing extraordinary. Decent for the price.
P0024,10024,2024-04-02,Books,A Gentleman in Moscow by Amor Towles,1,1023.65,1023.65,Apple Pay,5,Brilliant product! Works perfectly and is incredibly well-made. Worth every penny.
P0025,10025,2024-10-19,Beauty Products,Morphe 35O Nature Glow Palette,1,2585.80,2585.80,PayPal,5,Five stars! The best purchase I've made this year. Would highly recommend to everyone.
P0026,10026,2024-10-12,Beauty Products,Dior Lip Glow Oil,1,3872.74,3872.74,Credit Card,3,Average quality. Meets basic expectations but doesn't stand out from competitors.
P0027,10027,2024-01-24,Books,The Alchemist by Paulo Coelho,3,869.13,2607.39,Credit Card,5,Best in its category! I've tried competitors and nothing comes close to this.
P0028,10028,2024-03-06,Clothing,Reformation Odessa Dress,1,22289.83,22289.83,Debit Card,4,Excellent product that does the job well. Only minor complaints.
P0029,10029,2024-02-21,Sports,Hoka Clifton 9,3,14897.75,44693.25,Credit Card,5,Best in its category! I've tried competitors and nothing comes close to this.
P0030,10030,2024-07-28,Beauty Products,La Roche-Posay Cicaplast Baume,4,1655.99,6623.96,Credit Card,0,Do not waste your money. This is the worst product I have ever purchased.
P0031,10031,2024-12-26,Beauty Products,Saie Glowy Super Skin Gel,1,3227.63,3227.63,Google Pay,3,It's fine. Does what it's supposed to do without any standout features.
P0032,10032,2024-03-10,Clothing,Patagonia Retro-X Fleece,5,17985.04,89925.20,Google Pay,5,Top-notch quality and performance. This has become an essential part of my daily life.
P0033,10033,2024-01-19,Beauty Products,Fresh Sugar Lip Treatment,1,2440.58,2440.58,PayPal,5,Absolutely fantastic! The quality far surpasses what I expected at this price point.
P0034,10034,2024-02-06,Electronics,Google Nest Hub,2,10004.08,20008.16,Credit Card,4,Very satisfied customer. The product is well-designed and performs reliably.
P0035,10035,2024-04-20,Electronics,Apple Watch Ultra 2,2,79512.76,159025.52,Credit Card,4,I'm impressed with the quality. Not perfect but definitely worth the investment.
P0036,10036,2024-12-07,Books,The Midnight Library by Matt Haig,1,1331.62,1331.62,Credit Card,4,Solid quality and reliable performance. I'm satisfied with this purchase and would recommend it.
P0037,10037,2024-01-20,Sports,JBL Endurance RUN Earphones,5,2913.44,14567.20,Credit Card,4,Great product with excellent features. Just a few small things keep it from being perfect.
P0038,10038,2024-12-03,Clothing,H&M Linen Blend Shirt,1,2928.60,2928.60,Google Pay,3,"Adequate for basic use. If you need something simple, this works fine."
P0039,10039,2024-12-26,Sports,On Cloudrunning Shoes,1,15275.20,15275.20,Credit Card,1,Complete waste of money. The product doesn't work as advertised at all.
P0040,10040,2024-12-05,Clothing,Ray-Ban Aviator Classic Sunglasses,1,14841.62,14841.62,Google Pay,5,Exceptional product that delivers exactly what it promises. Couldn't be happier!
P0041,10041,2024-09-23,Books,The Hobbit by J.R.R. Tolkien,1,1098.78,1098.78,Credit Card,4,Good value for money. The product is well-made and serves its purpose perfectly.
P0042,10042,2024-12-28,Electronics,Bose QuietComfort Earbuds II,1,29762.89,29762.89,Credit Card,5,Top-notch quality and performance. This has become an essential part of my daily life.
P0043,10043,2024-11-21,Clothing,Birkenstock Arizona Sandals,1,9865.45,9865.45,PayPal,4,Solid quality and reliable performance. I'm satisfied with this purchase and would recommend it.
P0044,10044,2024-02-23,Home Appliances,OXO Brew Conical Burr Grinder,1,10098.75,10098.75,Credit Card,4,Works great and looks good too. Very pleased with this purchase overall.
P0045,10045,2024-02-10,Books,Spare by Prince Harry,4,1821.80,7287.20,Credit Card,1,Awful quality. Fell apart after minimal use. Would never recommend this to anyone.
P0046,10046,2024-10-22,Electronics,Samsung 55 The Frame TV,1,150438.59,150438.59,PayPal,0,Zero stars if I could. The product is completely unusable and a total waste of money.
P0047,10047,2024-12-08,Home Appliances,Samsung Bespoke Refrigerator,5,295305.56,1476527.80,PayPal,5,Top-notch quality and performance. This has become an essential part of my daily life.
P0048,10048,2024-11-14,Clothing,Zara High-Waisted Trousers,1,4669.14,4669.14,Debit Card,4,Very good product overall. Works well and meets my expectations. Minor improvements possible.
P0049,10049,2024-12-08,Clothing,Nike Air Force 1 Sneakers,3,11961.44,35884.32,Credit Card,2,Poor experience overall. The product has multiple flaws that affect usability.
P0050,10050,2024-04-22,Home Appliances,Shark Steam Mop,1,11741.92,11741.92,Debit Card,0,Do not waste your money. This is the worst product I have ever purchased.
P0051,10051,2024-06-17,Beauty Products,La Roche-Posay Effaclar Duo,2,2541.34,5082.68,Debit Card,1,Complete waste of money. The product doesn't work as advertised at all.
P0052,10052,2024-12-09,Home Appliances,Lodge Cast Iron Skillet,2,2562.24,5124.48,Credit Card,5,Incredible value for the price. The build quality is superb and it works flawlessly.
P0053,10053,2024-06-26,Books,The Midnight Library by Matt Haig,1,1378.93,1378.93,Debit Card,4,Very satisfied customer. The product is well-designed and performs reliably.
P0054,10054,2024-03-02,Beauty Products,Tatcha The Water Cream,1,6963.38,6963.38,Google Pay,3,"Mixed feelings about this. Some features are good, others could use improvement."
P0055,10055,2024-06-03,Books,A Gentleman in Moscow by Amor Towles,2,1050.20,2100.40,Debit Card,3,"It does the job adequately. Not great, not terrible, just middle of the road."
P0056,10056,2024-08-22,Beauty Products,Charlotte Tilbury Flawless Filter,1,4441.94,4441.94,Google Pay,5,Incredible value for the price. The build quality is superb and it works flawlessly.
P0057,10057,2024-10-13,Home Appliances,LEVOIT Core 300 Air Purifier,2,9781.76,19563.52,Google Pay,2,Regret this purchase. The quality doesn't match the price tag at all.
P0058,10058,2024-05-14,Books,Educated by Tara Westover,1,1315.42,1315.42,Credit Card,4,Great product with excellent features. Just a few small things keep it from being perfect.
P0059,10059,2024-10-10,Sports,Gaiam Premium Yoga Mat,2,2709.25,5418.50,Debit Card,2,Poor experience overall. The product has multiple flaws that affect usability.
P0060,10060,2024-10-08,Clothing,Nike Air Max 270,1,14581.86,14581.86,Apple Pay,4,Solid quality and reliable performance. I'm satisfied with this purchase and would recommend it.
P0061,10061,2024-07-21,Home Appliances,OXO Good Grips Can Opener,2,2472.67,4945.34,PayPal,5,Absolutely love this product! Exceeded all my expectations and the quality is outstanding.
P0062,10062,2024-12-28,Electronics,Amazon Fire TV Stick 4K,3,4905.82,14717.46,Google Pay,4,Excellent product that does the job well. Only minor complaints.
P0063,10063,2024-04-28,Home Appliances,Instant Pot Duo Plus,1,15169.47,15169.47,Google Pay,0,Unbelievably bad. The product arrived broken and nobody would help me resolve it.
P0064,10064,2024-05-25,Beauty Products,IT Cosmetics CC+ Cream,2,4447.76,8895.52,Google Pay,4,Excellent product that does the job well. Only minor complaints.
P0065,10065,2024-07-06,Beauty Products,Anastasia Beverly Hills Brow Wiz,1,2324.59,2324.59,Credit Card,2,The product has issues that shouldn't exist at this price point. Very underwhelming.
P0066,10066,2024-08-08,Clothing,Vuori Performance Joggers,1,8912.75,8912.75,Credit Card,5,Top-notch quality and performance. This has become an essential part of my daily life.
P0067,10067,2024-12-03,Home Appliances,Vitamix 5200 Blender,1,44584.90,44584.90,PayPal,3,Average quality. Meets basic expectations but doesn't stand out from competitors.
P0068,10068,2024-07-11,Sports,Hydro Flask 32 oz Water Bottle,1,4372.07,4372.07,PayPal,4,Very satisfied customer. The product is well-designed and performs reliably.
P0069,10069,2024-12-01,Books,The Thursday Murder Club by Richard Osman,1,1324.27,1324.27,Credit Card,3,Acceptable quality but there's room for improvement. I've seen better and worse.
P0070,10070,2024-08-24,Sports,Hydro Flask Wide Mouth,3,4597.17,13791.51,Apple Pay,5,Incredible value for the price. The build quality is superb and it works flawlessly.
P0071,10071,2024-08-13,Books,The Power of Now by Eckhart Tolle,2,956.82,1913.64,PayPal,2,Not worth the money. The product feels cheap and doesn't perform as advertised.
P0072,10072,2024-12-18,Electronics,Microsoft Surface Laptop 5,4,122572.10,490288.40,Credit Card,5,Incredible value for the price. The build quality is superb and it works flawlessly.
P0073,10073,2024-03-15,Home Appliances,Bodum French Press,1,2968.31,2968.31,Credit Card,4,I'm impressed with the quality. Not perfect but definitely worth the investment.
P0074,10074,2024-11-13,Clothing,Reformation Odessa Dress,3,22234.16,66702.48,Credit Card,2,Mediocre at best. I would not buy this again or recommend it to anyone.
P0075,10075,2024-01-18,Electronics,Bose QuietComfort Earbuds II,5,29630.83,148154.15,Debit Card,2,Disappointing quality for the price. Expected much better based on the description.
P0076,10076,2024-11-08,Clothing,Nike Air Force 1 Sneakers,3,12077.29,36231.87,Credit Card,5,Five stars! The best purchase I've made this year. Would highly recommend to everyone.
P0077,10077,2024-09-07,Beauty Products,ILIA Super Serum Skin Tint,2,4866.71,9733.42,PayPal,4,Solid quality and reliable performance. I'm satisfied with this purchase and would recommend it.
P0078,10078,2024-11-06,Books,Project Hail Mary by Andy Weir,1,1447.60,1447.60,Credit Card,4,Works great and looks good too. Very pleased with this purchase overall.
P0079,10079,2024-06-23,Clothing,Nike Air Max 270,1,15161.44,15161.44,Credit Card,5,Exceptional product that delivers exactly what it promises. Couldn't be happier!
P0080,10080,2024-12-20,Home Appliances,Shark Robot Vacuum RV1001AE,3,30018.28,90054.84,Credit Card,5,Incredible value for the price. The build quality is superb and it works flawlessly.
P0081,10081,2024-10-03,Sports,RumbleRoller Foam Roller,2,4844.09,9688.18,PayPal,2,Below average. Several issues that make it hard to recommend to others.
P0082,10082,2024-07-12,Beauty Products,First Aid Beauty KP Bump Eraser,2,2779.20,5558.40,Google Pay,0,Do not waste your money. This is the worst product I have ever purchased.
P0083,10083,2024-09-18,Sports,Nike Alphafly 2,1,29046.81,29046.81,Credit Card,5,Outstanding quality and fantastic value. I'm so happy with this purchase.
P0084,10084,2024-11-03,Clothing,Reformation Odessa Dress,4,21464.97,85859.88,Apple Pay,4,Works great and looks good too. Very pleased with this purchase overall.
P0085,10085,2024-05-16,Books,The Song of Achilles by Madeline Miller,1,1169.45,1169.45,Credit Card,5,Life-changing product! I can't imagine going back to anything else now.
P0086,10086,2024-10-09,Sports,Coleman Sundome 4-Person Tent,1,9231.68,9231.68,Debit Card,5,Incredible value for the price. The build quality is superb and it works flawlessly.
P0087,10087,2024-08-25,Clothing,Canada Goose HyBridge Base Hoody,2,39845.79,79691.58,Apple Pay,4,Very good product overall. Works well and meets my expectations. Minor improvements possible.
P0088,10088,2024-02-08,Beauty Products,Drunk Elephant T.L.C. Framboos,2,8885.47,17770.94,Credit Card,5,Absolutely fantastic! The quality far surpasses what I expected at this price point.
P0089,10089,2024-08-14,Sports,Yeti Rambler 26 oz Bottle,1,4038.56,4038.56,Credit Card,5,Outstanding quality and fantastic value. I'm so happy with this purchase.
P0090,10090,2024-02-07,Books,Klara and the Sun by Kazuo Ishiguro,1,1392.99,1392.99,PayPal,5,Best in its category! I've tried competitors and nothing comes close to this.
P0091,10091,2024-05-19,Sports,Garmin Venu 3,2,46194.50,92389.00,Credit Card,5,Top-notch quality and performance. This has become an essential part of my daily life.
P0092,10092,2024-03-01,Sports,Brooks Adrenaline GTS 22,1,13608.51,13608.51,Credit Card,4,Great product with excellent features. Just a few small things keep it from being perfect.
P0093,10093,2024-10-25,Sports,Spalding NBA Street Basketball,1,2417.13,2417.13,Credit Card,4,High quality and durable. Would buy again without hesitation.
P0094,10094,2024-05-02,Clothing,Everlane The Weekender Bag,4,11484.63,45938.52,Debit Card,4,Solid quality and reliable performance. I'm satisfied with this purchase and would recommend it.
P0095,10095,2024-09-22,Electronics,Bose SoundLink Revolve,1,20271.50,20271.50,Credit Card,5,Outstanding quality and fantastic value. I'm so happy with this purchase.
P0096,10096,2024-02-25,Beauty Products,Glow Recipe Avocado Melt Retinol Eye Cream,2,4263.09,8526.18,Credit Card,2,Doesn't live up to the hype. Overpriced for what you actually get.
P0097,10097,2024-07-15,Books,Atomic Habits by James Clear,3,1224.99,3674.97,Credit Card,4,Very good product overall. Works well and meets my expectations. Minor improvements possible.
P0098,10098,2024-09-24,Electronics,Anker 733 Power Bank,4,9726.43,38905.72,Credit Card,5,Five stars! The best purchase I've made this year. Would highly recommend to everyone.
P0099,10099,2024-03-06,Sports,Yeti Tundra 45 Cooler,1,36371.32,36371.32,Apple Pay,3,It's fine. Does what it's supposed to do without any standout features.
P0100,10100,2024-05-08,Clothing,Steve Madden Troopa Boots,2,9099.49,18198.98,Apple Pay,5,Outstanding quality and fantastic value. I'm so happy with this purchase.
P0101,10101,2024-12-26,Clothing,Nike Air Max 270,1,15030.08,15030.08,PayPal,1,Very disappointed. The item arrived damaged and customer service was unhelpful.
P0102,10102,2024-02-06,Books,The Great Gatsby by F. Scott Fitzgerald,2,1009.26,2018.52,Credit Card,4,High quality and durable. Would buy again without hesitation.
P0103,10103,2024-10-23,Beauty Products,Drunk Elephant Protini Polypeptide Cream,4,6790.19,27160.76,Apple Pay,4,Very satisfied customer. The product is well-designed and performs reliably.
P0104,10104,2024-01-14,Books,Circe by Madeline Miller,2,1253.30,2506.60,Credit Card,0,Unbelievably bad. The product arrived broken and nobody would help me resolve it.
P0105,10105,2024-09-01,Clothing,Champion Reverse Weave Hoodie,2,6602.61,13205.22,PayPal,4,High quality and durable. Would buy again without hesitation.
P0106,10106,2024-12-06,Beauty Products,Tatcha The Water Cream,2,6786.63,13573.26,Debit Card,4,Works great and looks good too. Very pleased with this purchase overall.
P0107,10107,2024-05-22,Electronics,Sony Bravia 55 TV,3,158267.14,474801.42,Apple Pay,5,Incredible value for the price. The build quality is superb and it works flawlessly.
P0108,10108,2024-11-18,Electronics,Samsung Galaxy Tab S9,1,79010.80,79010.80,Debit Card,5,Incredible value for the price. The build quality is superb and it works flawlessly.
P0109,10109,2024-12-27,Electronics,iPhone 15 Pro Max,2,159406.34,318812.68,PayPal,5,Absolutely fantastic! The quality far surpasses what I expected at this price point.
P0110,10110,2024-06-25,Sports,Bowflex SelectTech 552 Dumbbells,2,43569.22,87138.44,Credit Card,5,Brilliant product! Works perfectly and is incredibly well-made. Worth every penny.
P0111,10111,2024-12-15,Sports,Nike Yoga Mat,1,6365.73,6365.73,Credit Card,2,Not worth the money. The product feels cheap and doesn't perform as advertised.
P0112,10112,2024-05-01,Sports,Yeti Tundra 45 Cooler,1,36870.74,36870.74,Debit Card,4,Solid quality and reliable performance. I'm satisfied with this purchase and would recommend it.
P0113,10113,2024-10-05,Sports,Bowflex SelectTech 552 Dumbbells,4,42364.25,169457.00,Credit Card,4,High quality and durable. Would buy again without hesitation.
P0114,10114,2024-12-08,Beauty Products,Tower 28 SOS Rescue Facial Spray,2,1976.10,3952.20,Credit Card,4,Great product with excellent features. Just a few small things keep it from being perfect.
P0115,10115,2024-12-09,Beauty Products,Glow Recipe Watermelon Glow,1,3448.52,3448.52,Credit Card,2,Regret this purchase. The quality doesn't match the price tag at all.
P0116,10116,2024-11-27,Sports,Wilson Evolution Basketball,3,5970.79,17912.37,Apple Pay,5,Absolutely fantastic! The quality far surpasses what I expected at this price point.
P0117,10117,2024-11-13,Beauty Products,Tower 28 SOS Rescue Facial Spray,4,2034.13,8136.52,Credit Card,4,Really happy with this. Does exactly what it says and the quality is very good.
P0118,10118,2024-12-14,Electronics,Garmin Forerunner 265,1,44827.20,44827.20,PayPal,4,Great product with excellent features. Just a few small things keep it from being perfect.
P0119,10119,2024-08-02,Home Appliances,Ninja Foodi 8-in-1 Pressure Cooker,1,20007.68,20007.68,Debit Card,1,Returned this immediately. The product was defective and poorly made.
P0120,10120,2024-02-15,Electronics,Google Pixel 8 Pro,2,99360.41,198720.82,PayPal,5,Exceptional product that delivers exactly what it promises. Couldn't be happier!
P0121,10121,2024-05-23,Beauty Products,La Roche-Posay Anthelios Sunscreen,2,2032.00,4064.00,Google Pay,4,I'm impressed with the quality. Not perfect but definitely worth the investment.
P0122,10122,2024-09-25,Sports,Adidas Copa Sense Soccer Ball,4,5337.13,21348.52,Debit Card,5,Exceptional product that delivers exactly what it promises. Couldn't be happier!
P0123,10123,2024-12-24,Electronics,Logitech MX Master 3S Mouse,1,9661.48,9661.48,Debit Card,4,Good value for money. The product is well-made and serves its purpose perfectly.
P0124,10124,2024-12-02,Books,The Song of Achilles by Madeline Miller,3,1175.25,3525.75,Debit Card,4,Really happy with this. Does exactly what it says and the quality is very good.
P0125,10125,2024-08-19,Home Appliances,T-fal Non-Stick Frying Pan,1,2427.10,2427.10,PayPal,4,Really happy with this. Does exactly what it says and the quality is very good.
P0126,10126,2024-08-19,Home Appliances,Breville Smart Oven Air,1,40230.14,40230.14,Apple Pay,5,Absolutely love this product! Exceeded all my expectations and the quality is outstanding.
P0127,10127,2024-12-15,Clothing,Steve Madden Troopa Boots,2,8805.51,17611.02,Apple Pay,1,I regret buying this. It's of very low quality and not worth even a fraction of the price.
P0128,10128,2024-05-14,Clothing,Everlane The Cashmere Crew,1,11758.71,11758.71,PayPal,2,Below average. Several issues that make it hard to recommend to others.
P0129,10129,2024-04-19,Books,The Covenant of Water by Abraham Verghese,2,1739.96,3479.92,Credit Card,5,Incredible value for the price. The build quality is superb and it works flawlessly.
P0130,10130,2024-05-19,Electronics,Bose QuietComfort 45 Headphones,4,33383.97,133535.88,Credit Card,2,Poor experience overall. The product has multiple flaws that affect usability.
P0131,10131,2024-09-12,Clothing,The North Face Aconcagua Jacket,2,20044.34,40088.68,PayPal,3,It's an okay product. Does the basics but nothing extraordinary. Decent for the price.
P0132,10132,2024-05-15,Electronics,iPad Mini,2,50595.69,101191.38,Debit Card,1,Extremely dissatisfied. The product stopped working within the first week.
P0133,10133,2024-11-06,Clothing,Nike Air Force 1 Sneakers,1,12018.35,12018.35,Debit Card,4,Good value for money. The product is well-made and serves its purpose perfectly.
P0134,10134,2024-11-09,Sports,Nike Metcon 8,5,12830.33,64151.65,Debit Card,2,Mediocre at best. I would not buy this again or recommend it to anyone.
P0135,10135,2024-12-05,Clothing,Uniqlo Airism T-Shirt,3,2016.77,6050.31,PayPal,0,Stay away from this product. It's a complete rip-off and doesn't work at all.
P0136,10136,2024-06-26,Beauty Products,Supergoop! Unseen Sunscreen,1,3397.44,3397.44,Apple Pay,5,Exceptional product that delivers exactly what it promises. Couldn't be happier!
P0137,10137,2024-09-27,Books,The Woman in Me by Britney Spears,1,1663.01,1663.01,Credit Card,4,Excellent product that does the job well. Only minor complaints.
P0138,10138,2024-05-20,Clothing,The North Face Recon Backpack,2,9980.43,19960.86,Apple Pay,1,One of the worst purchases I've made. Cheap materials and poor craftsmanship.
P0139,10139,2024-10-04,Home Appliances,Vitamix Immersion Blender,1,9625.10,9625.10,Apple Pay,5,Outstanding quality and fantastic value. I'm so happy with this purchase.
P0140,10140,2024-12-05,Beauty Products,La Mer Creme de la Mer,1,18588.22,18588.22,Google Pay,4,Great product with excellent features. Just a few small things keep it from being perfect.
P0141,10141,2024-12-21,Electronics,Anker 733 Power Bank,3,9968.70,29906.10,Credit Card,5,Top-notch quality and performance. This has become an essential part of my daily life.
P0142,10142,2024-04-15,Clothing,Arc'teryx Beta AR Jacket,3,58460.08,175380.24,Debit Card,4,I'm impressed with the quality. Not perfect but definitely worth the investment.
P0143,10143,2024-01-09,Home Appliances,Weber Smokey Mountain Cooker,5,45082.69,225413.45,Apple Pay,5,Outstanding quality and fantastic value. I'm so happy with this purchase.
P0144,10144,2024-10-20,Electronics,MacBook Air M3,1,113752.21,113752.21,PayPal,2,Poor experience overall. The product has multiple flaws that affect usability.
P0145,10145,2024-01-25,Sports,Yeti Hopper M30 Soft Cooler,1,34393.67,34393.67,Credit Card,5,Brilliant product! Works perfectly and is incredibly well-made. Worth every penny.
P0146,10146,2024-11-20,Electronics,iPhone 15 Pro,1,138817.72,138817.72,PayPal,4,Great product with excellent features. Just a few small things keep it from being perfect.
P0147,10147,2024-02-28,Electronics,Microsoft Surface Laptop 5,1,120863.18,120863.18,Credit Card,4,Very good product overall. Works well and meets my expectations. Minor improvements possible.
P0148,10148,2024-03-02,Home Appliances,Ninja Foodi 8-in-1 Pressure Cooker,2,19931.15,39862.30,Debit Card,4,I'm impressed with the quality. Not perfect but definitely worth the investment.
P0149,10149,2024-08-04,Beauty Products,Kosas Cloud Set Powder,1,3583.27,3583.27,Credit Card,3,Middle of the pack. Not disappointed but not impressed either.
P0150,10150,2024-05-21,Electronics,iPad Pro 12.9,1,129736.19,129736.19,PayPal,4,Solid quality and reliable performance. I'm satisfied with this purchase and would recommend it.
P0151,10151,2024-08-15,Electronics,Kindle Paperwhite Signature,4,18698.27,74793.08,PayPal,5,Exceptional product that delivers exactly what it promises. Couldn't be happier!
P0152,10152,2024-09-19,Sports,Yeti Rambler 20 oz Tumbler,2,3465.06,6930.12,Credit Card,4,High quality and durable. Would buy again without hesitation.
P0153,10153,2024-08-14,Electronics,Anker 733 Power Bank,3,9670.96,29012.88,Google Pay,3,"Mixed feelings about this. Some features are good, others could use improvement."
P0154,10154,2024-07-08,Beauty Products,Olaplex No.4 Bond Maintenance Shampoo,1,2981.66,2981.66,PayPal,3,Decent product for the price. Nothing to write home about but it works.
P0155,10155,2024-07-22,Clothing,Madewell High-Rise Skinny Jeans,1,8714.51,8714.51,Apple Pay,5,Five stars! The best purchase I've made this year. Would highly recommend to everyone.
P0156,10156,2024-02-04,Books,The Woman in Me by Britney Spears,3,1695.72,5087.16,Credit Card,0,Stay away from this product. It's a complete rip-off and doesn't work at all.
P0157,10157,2024-05-04,Beauty Products,Olaplex No. 3 Hair Perfector,1,2817.68,2817.68,PayPal,2,Disappointing quality for the price. Expected much better based on the description.
P0158,10158,2024-12-20,Books,Project Hail Mary by Andy Weir,1,1496.97,1496.97,Credit Card,5,Best in its category! I've tried competitors and nothing comes close to this.
P0159,10159,2024-04-04,Books,The Seven Husbands of Evelyn Hugo by Taylor Jenkins Reid,3,1130.94,3392.82,Credit Card,4,Works great and looks good too. Very pleased with this purchase overall.
P0160,10160,2024-11-25,Sports,REI Co-op Trailbreak 30 Backpack,1,8195.70,8195.70,Credit Card,5,Exceptional product that delivers exactly what it promises. Couldn't be happier!
P0161,10161,2024-10-10,Books,The Alchemist by Paulo Coelho,1,872.99,872.99,PayPal,4,Works great and looks good too. Very pleased with this purchase overall.
P0162,10162,2024-02-24,Electronics,iPad Pro 12.9,1,130137.58,130137.58,PayPal,4,I'm impressed with the quality. Not perfect but definitely worth the investment.
P0163,10163,2024-03-10,Books,The Song of Achilles by Madeline Miller,3,1194.83,3584.49,Debit Card,1,Very disappointed. The item arrived damaged and customer service was unhelpful.
P0164,10164,2024-03-20,Electronics,Bose QuietComfort 45 Headphones,2,32450.13,64900.26,PayPal,4,High quality and durable. Would buy again without hesitation.
P0165,10165,2024-07-07,Sports,Manduka PRO Yoga Mat,1,11849.96,11849.96,Credit Card,3,"Adequate for basic use. If you need something simple, this works fine."
P0166,10166,2024-08-22,Books,The Great Gatsby by F. Scott Fitzgerald,1,983.78,983.78,Credit Card,5,Outstanding quality and fantastic value. I'm so happy with this purchase.
P0167,10167,2024-05-07,Home Appliances,Vitamix 5200 Blender,3,44332.77,132998.31,Debit Card,5,Incredible value for the price. The build quality is superb and it works flawlessly.
P0168,10168,2024-03-13,Sports,Brooks Ghost 15 Running Shoes,2,13990.22,27980.44,Debit Card,5,Absolutely love this product! Exceeded all my expectations and the quality is outstanding.
P0169,10169,2024-07-15,Electronics,Canon EOS R50 Camera,3,68208.64,204625.92,Credit Card,4,Works great and looks good too. Very pleased with this purchase overall.
P0170,10170,2024-05-13,Electronics,MacBook Air M3,5,112637.89,563189.45,Credit Card,4,I'm impressed with the quality. Not perfect but definitely worth the investment.
P0171,10171,2024-02-28,Electronics,Amazon Fire TV Stick 4K,1,5016.61,5016.61,Google Pay,5,Exceptional product that delivers exactly what it promises. Couldn't be happier!
P0172,10172,2024-11-08,Books,The Invisible Life of Addie LaRue by V.E. Schwab,3,964.84,2894.52,Debit Card,4,Really happy with this. Does exactly what it says and the quality is very good.
P0173,10173,2024-12-12,Books,The Seven Husbands of Evelyn Hugo by Taylor Jenkins Reid,2,1161.82,2323.64,PayPal,5,Brilliant product! Works perfectly and is incredibly well-made. Worth every penny.
